Using FROZEN split (never recomputed): {"train": ["S1", "S10", "S11", "S12", "S15", "S3", "S4", "S6", "S7", "S8"], "val": ["S13", "S5"], "test": ["S14", "S2", "S9"]}
train windows: 42631 | val windows: 9214 | test windows: 12852
HR normalization (frozen, matches original): mean=86.344666 std=21.048254

=== seed 42: training model_a_ppg_only ===
  epoch  4/20 - train loss 0.1859 | val MAE 9.032 bpm
  epoch  5/20 - train loss 0.1710 | val MAE 8.603 bpm
  epoch  6/20 - train loss 0.1664 | val MAE 8.474 bpm
  epoch  7/20 - train loss 0.1509 | val MAE 7.958 bpm
  epoch  8/20 - train loss 0.1509 | val MAE 8.902 bpm
  epoch  9/20 - train loss 0.1403 | val MAE 9.375 bpm
  epoch 10/20 - train loss 0.1362 | val MAE 8.195 bpm
  epoch 11/20 - train loss 0.1307 | val MAE 9.962 bpm
  epoch 12/20 - train loss 0.1268 | val MAE 10.151 bpm
  epoch 13/20 - train loss 0.1215 | val MAE 8.670 bpm
  epoch 14/20 - train loss 0.1162 | val MAE 7.599 bpm
  epoch 15/20 - train loss 0.1148 | val MAE 8.440 bpm
  epoch 16/20 - train loss 0.1101 | val MAE 8.388 bpm
  epoch 17/20 - train loss 0.1100 | val MAE 8.712 bpm
  epoch 18/20 - train loss 0.1064 | val MAE 8.199 bpm
  epoch 19/20 - train loss 0.1039 | val MAE 9.313 bpm
  epoch 20/20 - train loss 0.0987 | val MAE 8.068 bpm
seed 43 model_c_ppg_plus_shuffled_imu: held-out MAE 8.2152 bpm, RMSE 12.3045 bpm (276.1s)

=== seed 44: training model_a_ppg_only ===
  epoch  1/20 - train loss 0.3482 | val MAE 13.882 bpm
  epoch  2/20 - train loss 0.2853 | val MAE 14.742 bpm
  epoch  3/20 - train loss 0.2654 | val MAE 12.485 bpm
  epoch  4/20 - train loss 0.2550 | val MAE 11.038 bpm
  epoch  5/20 - train loss 0.2464 | val MAE 11.728 bpm
  epoch  6/20 - train loss 0.2384 | val MAE 11.257 bpm
  epoch  7/20 - train loss 0.2336 | val MAE 10.425 bpm
  epoch  8/20 - train loss 0.2309 | val MAE 10.918 bpm
  epoch  9/20 - train loss 0.2254 | val MAE 11.578 bpm
  epoch 10/20 - train loss 0.2213 | val MAE 10.667 bpm
  epoch 11/20 - train loss 0.2184 | val MAE 10.698 bpm
  epoch 12/20 - train loss 0.2159 | val MAE 10.872 bpm
  epoch 13/20 - train loss 0.2118 | val MAE 11.052 bpm
  epoch 14/20 - train loss 0.2112 | val MAE 11.848 bpm
  epoch 15/20 - train loss 0.2076 | val MAE 11.166 bpm
  epoch 16/20 - train loss 0.2056 | val MAE 10.613 bpm
  epoch 17/20 - train loss 0.2030 | val MAE 11.248 bpm
  epoch 18/20 - train loss 0.2015 | val MAE 10.816 bpm
  epoch 19/20 - train loss 0.1994 | val MAE 10.946 bpm
  epoch 20/20 - train loss 0.1975 | val MAE 10.972 bpm
seed 44 model_a_ppg_only: held-out MAE 8.9682 bpm, RMSE 12.1125 bpm (165.4s)

=== seed 44: training model_b_ppg_plus_imu ===
  epoch  1/20 - train loss 0.2770 | val MAE 14.699 bpm
  epoch  2/20 - train loss 0.1700 | val MAE 13.421 bpm
  epoch  3/20 - train loss 0.1400 | val MAE 12.308 bpm
  epoch  4/20 - train loss 0.1210 | val MAE 11.817 bpm
